Wine,Alcohol,Ash,Acl,Flavanoids,Nonflavanoidphenols,Colorint
1,14.23,2.43,15.6,3.06,0.28,5.64
1,13.2,2.14,11.2,2.76,0.26,4.38
1,13.16,2.67,18.6,3.24,0.3,5.68
1,14.37,2.5,16.8,3.49,0.24,7.8
1,13.24,2.87,21,2.69,0.39,4.32
1,14.2,2.45,15.2,3.39,0.34,6.75
1,14.39,2.45,14.6,2.52,0.3,5.25
1,14.06,2.61,17.6,2.51,0.31,5.05
1,14.83,2.17,14,2.98,0.29,5.2
1,13.86,2.27,16,3.15,0.22,7.22
1,14.1,2.3,18,3.32,0.22,5.75
1,14.12,2.32,16.8,2.43,0.26,5
1,13.75,2.41,16,2.76,0.29,5.6
1,14.75,2.39,11.4,3.69,0.43,5.4
1,14.38,2.38,12,3.64,0.29,7.5
1,13.63,2.7,17.2,2.91,0.3,7.3
1,14.3,2.72,20,3.14,0.33,6.2
1,13.83,2.62,20,3.4,0.4,6.6
1,14.19,2.48,16.5,3.93,0.32,8.7
1,13.64,2.56,15.2,3.03,0.17,5.1
1,14.06,2.28,16,3.17,0.24,5.65
1,12.93,2.65,18.6,2.41,0.25,4.5
1,13.71,2.36,16.6,2.88,0.27,3.8
1,12.85,2.52,17.8,2.37,0.26,3.93
1,13.5,2.61,20,2.61,0.28,3.52
1,13.05,3.22,25,2.68,0.47,3.58
1,13.39,2.62,16.1,2.94,0.34,4.8
1,13.3,2.14,17,2.19,0.27,3.95
1,13.87,2.8,19.4,2.97,0.37,4.5
1,14.02,2.21,16,2.33,0.26,4.7
1,13.73,2.7,22.5,3.25,0.29,5.7
1,13.58,2.36,19.1,3.19,0.22,6.9
1,13.68,2.36,17.2,2.69,0.42,3.84
1,13.76,2.7,19.5,2.74,0.5,5.4
1,13.51,2.65,19,2.53,0.29,4.2
1,13.48,2.41,20.5,2.98,0.26,5.1
1,13.28,2.84,15.5,2.68,0.34,4.6
1,13.05,2.55,18,2.43,0.29,4.25
1,13.07,2.1,15.5,2.64,0.28,3.7
1,14.22,2.51,13.2,3.04,0.2,5.1
1,13.56,2.31,16.2,3.29,0.34,6.13
1,13.41,2.12,18.8,2.68,0.27,4.28
1,13.88,2.59,15,3.56,0.17,5.43
1,13.24,2.29,17.5,2.63,0.32,4.36
1,13.05,2.1,17,3,0.28,5.04
1,14.21,2.44,18.9,2.65,0.3,5.24
1,14.38,2.28,16,3.17,0.27,4.9
1,13.9,2.12,16,3.39,0.21,6.1
1,14.1,2.4,18.8,2.92,0.32,6.2
1,13.94,2.27,17.4,3.54,0.32,8.9
1,13.05,2.04,12.4,3.27,0.17,7.2
1,13.83,2.6,17.2,2.99,0.22,5.6
1,13.82,2.42,14,3.74,0.32,7.05
1,13.77,2.68,17.1,2.79,0.39,6.3
1,13.74,2.25,16.4,2.9,0.21,5.85
1,13.56,2.46,20.5,2.78,0.2,6.25
1,14.22,2.3,16.3,3,0.26,6.38
1,13.29,2.68,16.8,3.23,0.31,6
1,13.72,2.5,16.7,3.67,0.19,6.8
2,12.37,1.36,10.6,0.57,0.28,1.95
2,12.33,2.28,16,1.09,0.63,3.27
2,12.64,2.02,16.8,1.41,0.53,5.75
2,13.67,1.92,18,1.79,0.32,3.8
2,12.37,2.16,19,3.1,0.19,4.45
2,12.17,2.53,19,1.75,0.45,2.95
